source,pt,target,tag,nCount,theta_s,source_x,source_y,theta_t,target_x,target_y,zz_dx,zz_dy,ss_dx,ss_dy
1,Term,3,1_3,0.011056748085420912,1.0471975511965976,10.000000000000002,17.32050807568877,3.141592653589793,-20,2.4492935982947065e-15,-14.742159919736817,2.890522044610295,4.742159919736821,14.429986031078478
1,Term,2,1_2,0.015654613901326542,1.0471975511965976,10.000000000000002,17.32050807568877,2.0943951023931953,-9.999999999999996,17.320508075688775,-3.9999999999999964,17.320508075688775,4.000000000000002,17.320508075688767
2,Term,6,2_6,0.02531653065832009,2.0943951023931953,-9.999999999999996,17.320508075688775,6.283185307179586,20,-4.898587196589413e-15,14.742159919736817,2.8905220446102864,-4.742159919736815,14.429986031078482
2,Term,1,2_1,0.033259635596818514,2.0943951023931953,-9.999999999999996,17.320508075688775,1.0471975511965976,10.000000000000002,17.32050807568877,4.000000000000002,17.320508075688767,-3.9999999999999964,17.320508075688775
3,Term,5,3_5,0.024810153432288855,3.141592653589793,-20,2.4492935982947065e-15,5.235987755982988,9.999999999999986,-17.32050807568878,4.742159919736804,-14.42998603107849,-14.742159919736817,-2.8905220446102895
3,Term,1,3_1,0.02894044215361156,3.141592653589793,-20,2.4492935982947065e-15,1.0471975511965976,10.000000000000002,17.32050807568877,4.742159919736821,14.429986031078478,-14.742159919736817,2.890522044610295
4,Term,6,4_6,0.02084572649279473,4.1887902047863905,-10.000000000000009,-17.320508075688767,6.283185307179586,20,-4.898587196589413e-15,14.74215991973682,-2.890522044610297,-4.742159919736827,-14.429986031078474
4,Term,2,4_2,0.02206069937555416,4.1887902047863905,-10.000000000000009,-17.320508075688767,2.0943951023931953,-9.999999999999996,17.320508075688775,-10.376743117175875,11.332347705119146,-9.62325688282413,-11.332347705119139
5,Term,3,5_3,0.03402741990566131,5.235987755982988,9.999999999999986,-17.32050807568878,3.141592653589793,-20,2.4492935982947065e-15,-14.742159919736817,-2.8905220446102895,4.742159919736804,-14.42998603107849
5,Term,6,5_6,0.03798298365201759,5.235987755982988,9.999999999999986,-17.32050807568878,6.283185307179586,20,-4.898587196589413e-15,16.78503923012602,-5.065967553012097,13.214960769873965,-12.254540522676692
6,Term,2,6_2,0.03228229004391019,6.283185307179586,20,-4.898587196589413e-15,2.0943951023931953,-9.999999999999996,17.320508075688775,-4.742159919736815,14.429986031078482,14.742159919736817,2.8905220446102864
6,Term,5,6_5,0.04213951614191532,6.283185307179586,20,-4.898587196589413e-15,5.235987755982988,9.999999999999986,-17.32050807568878,13.214960769873965,-12.254540522676692,16.78503923012602,-5.065967553012097
