trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	framewise_displacement
0.0	0.0	0.0	0.0	-0.0	0.0	0.0
-0.1897503514	-0.06334347088	0.3870936659	-0.01948881336	-0.002897298662	-0.002083747881	1.86368048333
-0.1996142537	-0.1473588163	0.3658355646	-0.01793581247	-0.003447417635	-0.003200389445	0.27612542037
-0.2154496931	-0.188788489	0.3531096878	-0.01916611753	-0.002939430531	-0.003836920951	0.18873217239999995
-0.2129404411	-0.1953658278	0.3090706929	-0.01825014129	-0.001450911979	-0.003260720056	0.20216037004999993
-0.1746164628	-0.1220912938	0.1291208314	-0.01221985463	-0.0009070849046	-0.003357898677	0.62511299157
-0.1817910343	-0.1605828023	0.096412337	-0.0125028044	-0.0006654151948	-0.00417688163	0.14555469603999993
-0.2034133695	-0.05119619343	0.09464839975	-0.01219466887	-0.0013634637	-0.004381928593	0.19333443122999994
-0.2109595073	-0.06456389484	0.04591942786	-0.008842321113	-0.001434209174	-0.004460512195	0.24472665274999997
-0.2128417683	-0.1572703535	0.04806611547	-0.008804275654	-0.002080077073	-0.004208304454	0.14354146222000003
-0.2171309943	0.02251891532	0.1034685445	-0.01132416539	-0.002524201991	-0.004541498609	0.40434136429999995
-0.2520877191	-0.1819077246	0.3403601365	-0.02072977461	-0.004482152406	-0.004642451648	1.04950059042
-0.2062013711	-0.1037337832	0.3570105129	-0.022050431	-0.007523192558	-0.003110289108	0.43540361989999987
-0.1692165487	-0.1774363125	0.3463703997	-0.02085049264	-0.009596078657	-0.001938548055	0.34355574050000004
-0.1668714169	-0.1789891929	0.3416643298	-0.02092720568	-0.009643304162	-0.001750228694	0.024216977400000107
-0.1380292503	-0.04397397476	0.2057915003	-0.01458200905	-0.008914520033	-0.001624724711	0.6597044513400001
-0.1952304719	-0.1550970848	0.3690183098	-0.02201021649	-0.009118341841	-0.002587934257	0.76131308084
-0.2091505131	-0.09080534175	0.3920952453	-0.02282599919	-0.008117877878	-0.003273017704	0.22635522525000001
-0.2006803348	-0.1320926205	0.3475163555	-0.02188749053	-0.007561379578	-0.003318834119	0.17137751560000003
-0.2079507102	-0.1810543502	0.3666415984	-0.02184996568	-0.007515611127	-0.003276958363	0.08161580085000009
-0.194215383	-0.1337734654	0.3474728769	-0.0205903966	-0.007374058478	-0.002937976969	0.16719008964999987
-0.1976271494	-0.2033708258	0.3495287065	-0.02214427479	-0.00763964979	-0.003106259741	0.17445257009999998
-0.2010872243	-0.2352915211	0.3790238618	-0.0219578594	-0.007936824113	-0.002920093713	0.09836371254999998
-0.2033694235	-0.1922828653	0.3722365217	-0.02184648067	-0.008103372529	-0.002902496839	0.06685439609999996
-0.2047289826	-0.177051449	0.3831340817	-0.02191246673	-0.007929826155	-0.003088806756	0.048780652949999906
-0.2077062245	-0.1799459042	0.3692542832	-0.02055832371	-0.007896097377	-0.003079740563	0.08959839515000007
-0.1999568177	-0.1436264027	0.3712369755	-0.02103689872	-0.007650006562	-0.003274502466	0.092022987
-0.2052043602	-0.1289547185	0.3809829102	-0.02165330574	-0.007871739566	-0.003206143621	0.07499010484999999
-0.2072244677	-0.1403483659	0.391417987	-0.02164671198	-0.007969683036	-0.003222698811	0.0299034527
-0.207785597	-0.2008542778	0.3996588924	-0.02169363759	-0.008212384768	-0.003233036259	0.08430618609999992
-0.202378951	-0.1255808728	0.4018361427	-0.02213802002	-0.007816374302	-0.003255852032	0.12601773475
-0.1974862026	-0.1342631772	0.382584131	-0.02116025984	-0.00792368874	-0.003133287886	0.09320900269999993
-0.2086377657	-0.2064322999	0.394725152	-0.02129095793	-0.008015706204	-0.00336419791	0.11814298569999998
-0.2153111891	-0.1285574224	0.4097591372	-0.02162226476	-0.007589019835	-0.003702852642	0.1544146826499999
-0.2138810162	-0.1485119296	0.3819329854	-0.021042265	-0.007064171601	-0.003939510789	0.11628613894999996
-0.2211664638	-0.1575311301	0.3976956481	-0.02118380368	-0.006744475104	-0.004204655532	0.0683863067999999
-0.2311451139	-0.226368289	0.4023092701	-0.02100688405	-0.006769488566	-0.004419446457	0.10426563184999986
-0.2246794028	-0.1416902638	0.3976316448	-0.02137213759	-0.006685534026	-0.004397960845	0.11935604619999995
-0.2289456907	-0.1601743619	0.4168566908	-0.02141799405	-0.006476030685	-0.004446293693	0.05716006444999998
-0.2338560409	-0.2567926537	0.4228223683	-0.0213535279	-0.006738028489	-0.00457967259	0.13048646205000003
-0.2358334467	-0.1742445733	0.437207011	-0.02211337164	-0.00653982535	-0.004694367759	0.15254723130000003
-0.2459858497	-0.1750939134	0.4401227119	-0.02173221856	-0.006686430424	-0.005094051361	0.06028953180000014
-0.2422679784	-0.1591943341	0.4366264948	-0.02175524086	-0.00654191291	-0.004944814369	0.03895250800000011
-0.2448977502	-0.1270755289	0.4440409432	-0.02162308432	-0.006693897303	-0.004926268477	0.05729736665
-0.2424413827	-0.2630401443	0.4424697139	-0.02165587246	-0.006799790077	-0.004730515182	0.15671392264999995
-0.2347559752	-0.1870802953	0.4558462892	-0.02200453356	-0.00649851514	-0.00464094989	0.13399689825000008
-0.2396804806	-0.1698716182	0.4504314694	-0.0219700709	-0.00656668935	-0.00476057874	0.03866128830000007
-0.2384789074	-0.2557863269	0.463049812	-0.0223674085	-0.006559051573	-0.004556671251	0.13017876780000015
-0.2403905933	-0.1495476306	0.4607679562	-0.02256009728	-0.006633482408	-0.004700556863	0.13098249934999998
-0.2399670968	-0.174182628	0.4634611841	-0.02271209471	-0.006704663392	-0.004456274211	0.05112477509999992
-0.2400930676	-0.2207719738	0.4708185812	-0.02270974591	-0.006534358952	-0.00448283134	0.06403323214999992
-0.23264345	-0.137971574	0.450804179	-0.02295905538	-0.006529137492	-0.004391361494	0.12756445839999997
-0.2360598637	-0.2266940441	0.4535483604	-0.02282395586	-0.006518043578	-0.004356408957	0.10394036374999983
-0.2383722537	-0.2084571646	0.4581393016	-0.02261682414	-0.006645698566	-0.004259121139	0.04674393700000013
-0.2338332678	-0.1454015786	0.4556197707	-0.02315165848	-0.00616075471	-0.004541551229	0.1352245171000001
-0.2416489477	-0.2137755006	0.4609337843	-0.02328715287	-0.006527996156	-0.004677593242	0.11344250795000005
-0.2435853865	-0.2203206213	0.478306396	-0.02325929515	-0.006540984381	-0.004647294059	0.02941142760000004
-0.2372513564	-0.1865347339	0.4825082888	-0.02373922244	-0.006298518274	-0.004606654402	0.08247346299999987
-0.2386436742	-0.1266032705	0.4856098388	-0.02356534079	-0.006444932893	-0.004627094138	0.08146213144999995
-0.2421730183	-0.1967515718	0.4797491706	-0.02334270813	-0.006481144112	-0.004838204943	0.10303604779999996
-0.2387967657	-0.1578385063	0.4646049223	-0.02346904576	-0.006408181041	-0.004922751803	0.07162594445000005
-0.2408222077	-0.1766447963	0.4728268835	-0.02319080196	-0.006492710207	-0.004941105377	0.048110020200000096
-0.2422714499	-0.2563825536	0.4859940115	-0.02314249054	-0.006552310195	-0.004829855636	0.10531218494999992
-0.2421028011	-0.1558225147	0.4767968888	-0.02312014811	-0.006711144	-0.005089374725	0.1319605766000001
-0.248511513	-0.1745447874	0.4833406846	-0.02313328162	-0.006814281456	-0.005226585083	0.04434884660000019
-0.255944445	-0.2731124013	0.4975743685	-0.02324403264	-0.006870433223	-0.005137048196	0.1330562134999998
-0.2435295663	-0.1169070103	0.493513744	-0.02353939041	-0.006664470304	-0.005221554544	0.20197224605000003
-0.2515240291	-0.1541497155	0.498813629	-0.02345403098	-0.006710435729	-0.005192876328	0.05853720655000003
-0.2502457388	-0.2643772569	0.4977738847	-0.02336834744	-0.006870665122	-0.004924915265	0.13823927579999998
-0.2437077452	-0.1658078284	0.486975484	-0.02349380217	-0.006705077831	-0.005002116319	0.13431797655000016
-0.2455585733	-0.2005713747	0.4890182784	-0.02335221507	-0.006681222934	-0.0050510359	0.04937524769999996
-0.2474890694	-0.229218381	0.4929954697	-0.02315009758	-0.006745635532	-0.004961148836	0.05237555130000002
-0.2365854595	-0.1675670877	0.4805158555	-0.02355765551	-0.006590268109	-0.004823527765	0.12006183860000007
-0.2415031606	-0.2345020403	0.4770752628	-0.02300392836	-0.00667219609	-0.004734648857	0.11151994835000006
-0.2383871579	-0.2407983986	0.4825735176	-0.02298235148	-0.00651214039	-0.004556639586	0.03289270834999991
-0.2312730225	-0.2188146533	0.4740040369	-0.02314945683	-0.006477107294	-0.004365787376	0.05731689420000011
-0.2284617714	-0.1594857266	0.4762862579	-0.02315990999	-0.006448479369	-0.004423544742	0.06926432135000006
-0.2276157291	-0.2330368459	0.4866137947	-0.02290852368	-0.006378926337	-0.004110374022	0.11643020150000007
-0.2295253584	-0.1925084352	0.4892993276	-0.02315176092	-0.006515320856	-0.004191307817	0.06815185059999998
-0.225570924	-0.136823731	0.4876370719	-0.02334938012	-0.006383772474	-0.0040677418	0.0839380742499999
-0.2281078401	-0.2387411843	0.4978069356	-0.0233930368	-0.006572042126	-0.00394431036	0.13239212169999998
-0.2218983194	-0.1510614109	0.4929542948	-0.02358535305	-0.006477124523	-0.004095837474	0.12067998325000001
-0.2287179898	-0.1516289735	0.5006879872	-0.0235723462	-0.006312663667	-0.003972098231	0.030181272849999965
-0.2335232989	-0.2249545186	0.4981858577	-0.02325890027	-0.006408135872	-0.004073911346	0.10616954619999991
-0.2275780682	-0.2939390245	0.4758033674	-0.02286888659	-0.006445827894	-0.003997782245	0.12250396704999994
-0.2309967065	-0.208664928	0.49078089	-0.02271874063	-0.006529815961	-0.00392728392	0.11890187500000002
-0.2360680588	-0.1403368343	0.4922961071	-0.0229157526	-0.0065043699	-0.004223059397	0.10082633849999982
-0.2354534763	-0.1170882176	0.5067478608	-0.0237014275	-0.006543357857	-0.004314669408	0.08412859630000011
-0.2333438506	-0.2634613076	0.5117049383	-0.02370182611	-0.006454435177	-0.004212061409	0.16303625765000002
-0.2312534355	-0.1861628971	0.5171550677	-0.02375520207	-0.006478175987	-0.004160465673	0.09127458029999992
