trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	framewise_displacement
0.0	0.0	0.0	0.0	-0.0	0.0	0.0
-0.05730236123	-0.001961699293	-0.0142329414	-0.01145395916	0.008396639489	0.004379058722	1.2849798704730002
-0.07417536182	-0.01455108104	-0.2372364287	-0.008895871229	0.00578553509	0.004693020135	0.526623556787
-0.1015036446	-0.1749627401	-0.3656757341	-0.007445520721	0.005999675021	0.004676330835	0.40023823418999993
-0.1005585545	-0.1968920396	-0.3876838438	-0.005996770691	0.005187489092	0.004189330153	0.18227933135000002
-0.1260987244	-0.07734295049	-0.4599132259	-0.01039185468	0.006375955418	0.00520119071	0.5470891847100001
-0.2507346986	-0.03455146459	-1.026747148	-0.03778745979	0.01274757087	0.01117786206	2.7214559778
-0.2757092201	-0.09903137639	-1.14022721	-0.03733054549	0.01366946008	0.01110524312	0.2755056177999997
-0.2523460841	-0.1936223493	-0.987346994	-0.03112683631	0.01279682107	0.009276721627	0.7160778090599998
-0.2431398881	-0.1863756792	-0.9237360882	-0.02999194898	0.01343399007	0.008637583815	0.20062347900000005
-0.2441595885	-0.1642675873	-0.9368894426	-0.02812497132	0.01262069959	0.008523486555	0.1759994167
-0.2010842559	-0.1774689757	-0.7732671141	-0.02470870316	0.009387550876	0.007375308312	0.6097788053499997
-0.1521198413	-0.1665142646	-0.5284064799	-0.02288013138	0.006630054209	0.005796043668	0.6130464144500001
-0.1779941085	-0.2003346899	-0.6348779637	-0.02469388768	0.006522745825	0.006380423438	0.2914383989999999
-0.2234278251	-0.1600653414	-1.051655979	-0.03492204845	0.00644570915	0.008716077544	1.13452365795
-0.254526431	-0.1312065196	-1.229064554	-0.03494573757	0.007494309451	0.01003041118	0.35669715555000026
-0.2553388064	-0.2925546771	-1.306613444	-0.03356234729	0.006589542143	0.01019882225	0.36253785579999986
-0.2324369181	-0.2816490826	-1.452744122	-0.03324924037	0.00265004253	0.01097327378	0.4312910639500001
-0.2117871352	-0.2645586158	-1.658078591	-0.0334735103	-0.002162719145	0.01240167487	0.56634635345
-0.2075349486	-0.3217905973	-1.799320427	-0.03433106467	-0.00461067073	0.01313948724	0.4048919203500001
-0.218766233	-0.3254487862	-1.928525488	-0.03632836416	-0.005714185536	0.01349021215	0.3166714945999999
-0.2215059747	-0.2371728394	-1.892155552	-0.03535923362	-0.00543441996	0.01366698742	0.19866919380000014
-0.2271499908	-0.2935074852	-1.805783725	-0.03568073362	-0.003549737623	0.01371238008	0.26092923875000007
-0.2458341817	-0.392641717	-1.791562816	-0.03631780297	-0.001553537557	0.01369932201	0.2643557059999999
-0.2560898554	-0.3426871654	-1.82325285	-0.03721215576	-0.0005622935132	0.01395465434	0.19894671749
-0.2594640562	-0.1589263747	-1.858603136	-0.04053331167	-0.001718430314	0.01435775962	0.46650517704000016
-0.2613759863	-0.3385781952	-1.886661565	-0.04390472919	-0.002867125208	0.01431750786	0.43764038829999985
-0.293922585	-0.3608393092	-1.922749123	-0.04822953045	0.00174839783	0.01434359886	0.5392160356000002
-0.340765867	-0.3362966533	-1.91122998	-0.04727812856	0.008412233554	0.01365118474	0.4982876676
-0.42116088	-0.3067024933	-2.007488522	-0.05211691558	0.01963571645	0.01316725742	1.0335575768
-0.494467292	-0.1904075541	-2.29119876	-0.06454758346	0.02993542328	0.01369230542	1.6360827247
-0.4669447054	-0.5668550853	-2.072356679	-0.05794469267	0.02772912197	0.01305744145	1.0950150023000003
-0.4271198658	-0.6475333455	-1.856983691	-0.04948359355	0.02225165255	0.01166209299	1.1025719377999996
-0.368743817	-0.4458873014	-1.627564924	-0.04060713947	0.01826579496	0.01084642578	1.1733398039
-0.3195168811	-0.5197180277	-1.447580481	-0.03286799043	0.01497776341	0.01000667922	0.8963884627
-0.2927074245	-0.4570995812	-1.323692864	-0.02679932676	0.01297938079	0.008949014358	0.6695510777
-0.2662436491	-0.3664146318	-1.240256186	-0.02276312932	0.01169940643	0.008529996499	0.4873448857499999
-0.2526111124	-0.1960599917	-1.185125134	-0.02039301768	0.01042274106	0.008143437095	0.44078504949999997
-0.245667061	-0.2767123429	-1.150861567	-0.01938777789	0.0101874629	0.008031961508	0.18945964645000019
-0.2453972282	-0.3405458476	-1.143546044	-0.01858552918	0.01021486986	0.008111577481	0.11688244264999982
-0.2481327959	-0.2425960492	-1.133531737	-0.01836976781	0.01008528844	0.007859146222	0.1405883755500001
-0.2469427283	-0.3415434418	-1.117704264	-0.01805056818	0.01010452211	0.007788255345	0.13643114205000015
-0.2450985231	-0.2988897069	-1.102395479	-0.01758620143	0.009773733094	0.007716234773	0.10316554200000003
-0.236302736	-0.2560445573	-1.081663553	-0.0172328949	0.00971472729	0.007756721228	0.09501280214999984
-0.2383499359	-0.2855256915	-1.064272002	-0.01640713774	0.009399220347	0.007679380476	0.10985012785000005
-0.2316407877	-0.2492306488	-1.044881319	-0.01585534029	0.009026208892	0.007231400348	0.13103432555000022
-0.2237628279	-0.2460088908	-1.027064815	-0.01507131197	0.008647711016	0.00721497694	0.08786370200000002
-0.2175931043	-0.1774520814	-1.009304038	-0.01471009851	0.008384963498	0.00709658768	0.12960482189999992
-0.2088027552	-0.1991466469	-0.9791450244	-0.01372455992	0.007895924151	0.006641427986	0.15713080975000007
-0.2017392358	-0.1731168334	-0.9474189318	-0.01247002371	0.007709314581	0.006463767495	0.1457597390499999
-0.1971595141	-0.1898445753	-0.9292830233	-0.01161391847	0.007280931808	0.006320920773	0.11081010885000003
